id,deck_id,de,en,example,tags,notes,box,ease,interval_days,reps,lapses,due_date,created_at,updated_at
7da3d820-8abb-4d49-9577-19e9c2bee4af,de529199-d8a0-407d-a8b1-731d7cb2d4ac,die Miete,rent,Die Miete für diese Wohnung ist sehr hoch.,,,2,2.5,2,1,0,2025-09-09,2025-09-07T16:04:08.304870,2025-09-07T16:04:27.036305
0823db17-56a6-4310-9d89-7d1b138a74b7,de529199-d8a0-407d-a8b1-731d7cb2d4ac,sich beschäftigen,to be busy with,Ich muss mich mit meiner Arbeit beschäftigen.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.305754,2025-09-07T16:04:08.305758
5cdecb03-84d2-461e-bd25-ddd63d7d579c,de529199-d8a0-407d-a8b1-731d7cb2d4ac,der Vordergrund,foreground,Im Vordergrund des Bildes steht ein Baum.,,,2,2.5,2,1,0,2025-09-09,2025-09-07T16:04:08.306511,2025-09-07T16:06:25.388009
0e08761e-adcc-4403-9486-d727401b86cb,de529199-d8a0-407d-a8b1-731d7cb2d4ac,der Hintergrund,background,Im Hintergrund kann man die Berge sehen.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.307206,2025-09-07T16:04:08.307209
b44a600e-6b12-440c-9842-b7522b9534ef,de529199-d8a0-407d-a8b1-731d7cb2d4ac,der Alltag,everyday life,Mein Alltag ist oft sehr hektisch.,,,2,2.5,2,1,0,2025-09-09,2025-09-07T16:04:08.307873,2025-09-07T16:06:33.433641
98ef27e4-7c4b-44f2-9db0-37aaff44694d,de529199-d8a0-407d-a8b1-731d7cb2d4ac,schaden,to harm,Rauchen schadet der Gesundheit.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.308362,2025-09-07T16:04:08.308363
8fd6f6d8-289c-4551-b13e-f5ee823a0d30,de529199-d8a0-407d-a8b1-731d7cb2d4ac,der Teller,plate,Der Teller ist leer.,,,1,2.3,1,1,0,2025-09-08,2025-09-07T16:04:08.308760,2025-09-07T16:06:36.804351
cb9110c1-e826-4b84-8cf9-fcd4c950967e,de529199-d8a0-407d-a8b1-731d7cb2d4ac,das Geschirr,dishes,Nach dem Essen müssen wir das Geschirr spülen.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.309121,2025-09-07T16:04:08.309123
081131cf-29a3-4e2c-917a-7a8024992c42,de529199-d8a0-407d-a8b1-731d7cb2d4ac,das Selbstgefühl,self-esteem,Ein Lob kann das Selbstgefühl stärken.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.309445,2025-09-07T16:04:08.309446
a5d955d7-6435-4eb0-b0c1-0666196273a1,de529199-d8a0-407d-a8b1-731d7cb2d4ac,verbringen,to spend time,Wir verbringen unseren Urlaub am Meer.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.309837,2025-09-07T16:04:08.309839
fdcdd5c8-6217-49f2-bfe3-d1e7304e69d0,de529199-d8a0-407d-a8b1-731d7cb2d4ac,vermissen,to miss,Ich vermisse meine Familie.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.310149,2025-09-07T16:04:08.310151
9e0197ae-842d-4f23-afff-379d06b0ff78,de529199-d8a0-407d-a8b1-731d7cb2d4ac,Schweden,Sweden,Schweden ist ein skandinavisches Land.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.310556,2025-09-07T16:04:08.310560
7f192897-cb5a-40bd-b17e-8f4b0333975f,de529199-d8a0-407d-a8b1-731d7cb2d4ac,Ungarn,Hungary,Budapest ist die Hauptstadt von Ungarn.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.310953,2025-09-07T16:04:08.310954
a4daf0b8-29de-4f1b-91d9-8fa3c2ceca05,de529199-d8a0-407d-a8b1-731d7cb2d4ac,wählen,to choose,Du musst eine Option wählen.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.311340,2025-09-07T16:04:08.311343
a1ac3650-d412-44a4-a1d3-1312952a4e67,de529199-d8a0-407d-a8b1-731d7cb2d4ac,die Gewöhnung,habit,Rauchen ist eine schlechte Gewöhnung.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.311722,2025-09-07T16:04:08.311724
f3181b94-0937-4c23-8542-f2b14fa51231,de529199-d8a0-407d-a8b1-731d7cb2d4ac,die Nachricht,message,Ich habe eine Nachricht von dir erhalten.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.312033,2025-09-07T16:04:08.312035
8b980d75-fa19-4f57-8018-2645e62b9287,de529199-d8a0-407d-a8b1-731d7cb2d4ac,stehlen,to steal,"Er wurde beschuldigt, ein Auto zu stehlen.",,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.312499,2025-09-07T16:04:08.312500
805dc1a6-2db1-4ea5-b682-7a403b1f310d,de529199-d8a0-407d-a8b1-731d7cb2d4ac,vorbereitet,prepared,Ich bin auf die Prüfung gut vorbereitet.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.312807,2025-09-07T16:04:08.312809
616deb81-40ee-4552-ade8-e4c52a8863b4,de529199-d8a0-407d-a8b1-731d7cb2d4ac,die Prüfung bestehen,to pass the exam,"Ich hoffe, ich werde die Prüfung bestehen.",,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.313154,2025-09-07T16:04:08.313156
6b522af9-6e4e-46c9-8af7-ddf5d5617ea8,de529199-d8a0-407d-a8b1-731d7cb2d4ac,die Tätigkeit,activity,Seine tägliche Tätigkeit ist das Schreiben.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.313482,2025-09-07T16:04:08.313484
7b428787-f85e-4a7d-96c2-37a5da337c61,de529199-d8a0-407d-a8b1-731d7cb2d4ac,die Taube,pigeon,Die Taube saß auf dem Dach.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.313788,2025-09-07T16:04:08.313790
098d8367-0755-470e-8aaa-36a92057386f,de529199-d8a0-407d-a8b1-731d7cb2d4ac,schätzen,to appreciate,Ich schätze deine Hilfe sehr.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.314082,2025-09-07T16:04:08.314083
b691d6ce-92a0-4d62-b2ba-fbeba56c0166,de529199-d8a0-407d-a8b1-731d7cb2d4ac,müde,tired,Ich bin sehr müde und möchte schlafen.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.314381,2025-09-07T16:04:08.314383
677154b8-5814-4cd0-871d-1e189c286e58,de529199-d8a0-407d-a8b1-731d7cb2d4ac,die Steuer,tax,Jeder Bürger muss Steuern zahlen.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.314686,2025-09-07T16:04:08.314687
90654673-73a6-4a5e-934d-9d0d500efe6a,de529199-d8a0-407d-a8b1-731d7cb2d4ac,bestehen,to pass,Er hat die Prüfung bestanden.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.315049,2025-09-07T16:04:08.315051
934cc908-48bd-47db-bb0a-5425a3598316,de529199-d8a0-407d-a8b1-731d7cb2d4ac,die Lösung,solution,Wir haben eine Lösung für das Problem gefunden.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.315341,2025-09-07T16:04:08.315342
49b0b54d-c2c0-43a2-9544-c1a9d7206a2a,de529199-d8a0-407d-a8b1-731d7cb2d4ac,abgeben,to hand in,Die Studenten müssen ihre Arbeiten morgen abgeben.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.315621,2025-09-07T16:04:08.315623
2ac86f67-f1e5-4fe0-8848-45d1635c29e9,de529199-d8a0-407d-a8b1-731d7cb2d4ac,das Vorurteil,prejudice,Wir sollten keine Vorurteile gegenüber anderen haben.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.315897,2025-09-07T16:04:08.315898
6261679b-d9b0-448b-b698-f69ed71051db,de529199-d8a0-407d-a8b1-731d7cb2d4ac,das Unternehmen,company,Er arbeitet für ein großes Unternehmen.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.316173,2025-09-07T16:04:08.316175
b277f16a-b5c1-434c-8d39-5a964c60f9e8,de529199-d8a0-407d-a8b1-731d7cb2d4ac,umziehen,to move house,Nächstes Jahr werden wir in eine neue Stadt umziehen.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.316536,2025-09-07T16:04:08.316539
40f8dca0-6740-42d8-8013-cf802bc8a7fa,de529199-d8a0-407d-a8b1-731d7cb2d4ac,das Werkzeug,tool,Ein Hammer ist ein nützliches Werkzeug.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.316880,2025-09-07T16:04:08.316882
81d33053-d5f3-4dec-94e7-e493529987a9,de529199-d8a0-407d-a8b1-731d7cb2d4ac,der Betrug,fraud,Er wurde wegen Betrugs verurteilt.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.317194,2025-09-07T16:04:08.317196
29ac1266-a7fa-4c20-96d9-644d3742806e,de529199-d8a0-407d-a8b1-731d7cb2d4ac,anschließend,afterwards,Wir gehen ins Kino und anschließend essen.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.317501,2025-09-07T16:04:08.317503
1753253d-dd09-4fdf-a19b-fb2ea7ae664a,de529199-d8a0-407d-a8b1-731d7cb2d4ac,das Zelt,tent,Wir schliefen im Zelt auf dem Campingplatz.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.317794,2025-09-07T16:04:08.317796
c71e64ca-89ec-4351-88a4-2479952de9b5,de529199-d8a0-407d-a8b1-731d7cb2d4ac,das Lagerfeuer,campfire,Am Abend saßen wir am Lagerfeuer.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.318115,2025-09-07T16:04:08.318117
20fb676f-38af-455f-a7db-8143dbfefc47,de529199-d8a0-407d-a8b1-731d7cb2d4ac,begleiten,to accompany,Kann ich dich nach Hause begleiten?,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.318491,2025-09-07T16:04:08.318493
9ecdec69-2a93-46ac-baf8-471e3d89291e,de529199-d8a0-407d-a8b1-731d7cb2d4ac,schaffen,to manage,"Ich bin sicher, du wirst es schaffen.",,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.318884,2025-09-07T16:04:08.318886
f4634551-4030-4b68-b846-3310e8d11c1d,de529199-d8a0-407d-a8b1-731d7cb2d4ac,bestimmt,definitely,Das ist bestimmt die richtige Antwort.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.319344,2025-09-07T16:04:08.319346
152a0ded-ff82-4700-960a-4996101ab0d4,de529199-d8a0-407d-a8b1-731d7cb2d4ac,verbunden mit,associated with,Dieses Ereignis ist mit vielen Erinnerungen verbunden.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.319746,2025-09-07T16:04:08.319748
6af80eac-f8b5-4c3a-8ce1-03ac95e46c37,de529199-d8a0-407d-a8b1-731d7cb2d4ac,der Austausch,exchange,Der kulturelle Austausch zwischen den Ländern ist wichtig.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.320141,2025-09-07T16:04:08.320144
60c64a16-373c-45b4-9248-70d4079ea48f,de529199-d8a0-407d-a8b1-731d7cb2d4ac,ausgeben,to spend,Ich möchte nicht zu viel Geld ausgeben.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.320537,2025-09-07T16:04:08.320539
00c0a3a6-688b-4246-a98c-06c6fbdf3401,de529199-d8a0-407d-a8b1-731d7cb2d4ac,her,ago,Das ist schon lange her.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.321003,2025-09-07T16:04:08.321006
444e6895-c766-4765-8cc5-6ebaf675a404,de529199-d8a0-407d-a8b1-731d7cb2d4ac,beschäftigt,busy,Ich bin heute sehr beschäftigt.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.321563,2025-09-07T16:04:08.321566
274cbdf5-aec3-4eec-a98e-ad154a581e01,de529199-d8a0-407d-a8b1-731d7cb2d4ac,entwickeln,to develop,Wir müssen neue Strategien entwickeln.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.321947,2025-09-07T16:04:08.321948
8f51254c-3f6e-45ad-b7d4-262e223a40a2,de529199-d8a0-407d-a8b1-731d7cb2d4ac,enttäuschen,to disappoint,Ich will dich nicht enttäuschen.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.322328,2025-09-07T16:04:08.322329
beef62a1-47f2-4a48-83d1-22bf32204dd6,de529199-d8a0-407d-a8b1-731d7cb2d4ac,die Stimmung,mood,Die Stimmung auf der Party war großartig.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.322699,2025-09-07T16:04:08.322701
44049d41-cac6-4b67-aad1-057020fab2f4,de529199-d8a0-407d-a8b1-731d7cb2d4ac,verantwortlich für,responsible for,Er ist für das Projekt verantwortlich.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.323067,2025-09-07T16:04:08.323069
fa700105-2a73-46c0-9df4-893f4b841c47,de529199-d8a0-407d-a8b1-731d7cb2d4ac,ausziehen,to move out,Sie ist letzten Monat aus der Wohnung ausgezogen.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.323436,2025-09-07T16:04:08.323438
5f7c01dc-0823-4e0f-b502-976944dbdde2,de529199-d8a0-407d-a8b1-731d7cb2d4ac,herrschen,to rule,Der König herrschte über ein großes Reich.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.323812,2025-09-07T16:04:08.323814
c5a26fbc-916d-48ce-b406-28bf2f213fe1,de529199-d8a0-407d-a8b1-731d7cb2d4ac,beherrschen,to master,Sie beherrscht mehrere Sprachen.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.324184,2025-09-07T16:04:08.324186
c2c6f56b-ef91-410c-837a-07b5362a3ebf,de529199-d8a0-407d-a8b1-731d7cb2d4ac,vorschriftswidrig,against the rules,Das Parken hier ist vorschriftswidrig.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.324554,2025-09-07T16:04:08.324556
1317bf76-3861-44d0-9cf6-05321602adeb,de529199-d8a0-407d-a8b1-731d7cb2d4ac,sicherlich,certainly,Er wird sicherlich pünktlich sein.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.324930,2025-09-07T16:04:08.324931
d743156d-9d3c-477c-972a-6d39465d7d3c,de529199-d8a0-407d-a8b1-731d7cb2d4ac,erreichen,to reach,Wir werden unser Ziel bald erreichen.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.325299,2025-09-07T16:04:08.325301
e275be94-09b4-4968-905a-81b2d6db13fa,de529199-d8a0-407d-a8b1-731d7cb2d4ac,die Lieferung,delivery,Die Lieferung kommt morgen an.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.325667,2025-09-07T16:04:08.325669
3fa8d454-c9ee-4bf8-a6e5-bfae5a5093c0,de529199-d8a0-407d-a8b1-731d7cb2d4ac,der Lieferant,supplier,Der Lieferant brachte die bestellten Waren.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.326036,2025-09-07T16:04:08.326038
c6aa8b27-34ad-4add-8c97-a2ef28877614,de529199-d8a0-407d-a8b1-731d7cb2d4ac,der Unterschied,difference,Was ist der Unterschied zwischen diesen beiden Wörtern?,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.326408,2025-09-07T16:04:08.326410
40c89c87-873f-47b7-b83e-fc92fa1a81fa,de529199-d8a0-407d-a8b1-731d7cb2d4ac,die Regierung,government,Die Regierung hat neue Gesetze erlassen.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.326780,2025-09-07T16:04:08.326781
97e19302-37c7-4d09-bd97-c6e537ce9a10,de529199-d8a0-407d-a8b1-731d7cb2d4ac,faul,lazy,Am Sonntag bin ich oft faul.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.327150,2025-09-07T16:04:08.327152
4e202619-ea5d-4379-8a7e-5b2bb9891763,de529199-d8a0-407d-a8b1-731d7cb2d4ac,es kommt darauf an,it depends,"Ob wir gehen, kommt darauf an, wie das Wetter ist.",,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.327518,2025-09-07T16:04:08.327520
2ddad9f2-8c85-403b-9fe3-297513ef1f92,de529199-d8a0-407d-a8b1-731d7cb2d4ac,glauben,to believe,"Ich glaube, dass alles gut wird.",,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.327888,2025-09-07T16:04:08.327890
bb5434be-8640-4a45-a9a5-f9b020cdc029,de529199-d8a0-407d-a8b1-731d7cb2d4ac,die Erde,Earth,Die Erde ist unser Heimatplanet.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.328169,2025-09-07T16:04:08.328171
66e2a1b2-02b1-45cf-84ea-25b3cd3751e4,de529199-d8a0-407d-a8b1-731d7cb2d4ac,sich vorbereiten,to prepare oneself,Ich muss mich auf das Interview vorbereiten.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.328440,2025-09-07T16:04:08.328442
8845c340-5185-417d-ad6b-ab21f04e5703,de529199-d8a0-407d-a8b1-731d7cb2d4ac,die Verändern,to change,Wir müssen unsere Pläne verändern.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.328722,2025-09-07T16:04:08.328723
779c6616-0760-4b42-95c5-17b4e21a34dd,de529199-d8a0-407d-a8b1-731d7cb2d4ac,die Wahrheit,truth,Sag mir die Wahrheit.,,,1,2.5,1,0,0,2025-09-07,2025-09-07T16:04:08.328992,2025-09-07T16:04:08.328993
